id,KPI,dateJudge
1,0.83,7/1/2017
2,0.65,26/2/2017
3,0.71,9/1/2017
4,0.03,7/9/2017
5,0.75,16/7/2017
6,0.43,30/4/2017
7,0.8,24/6/2017
8,0.11,15/9/2017
9,0.76,4/8/2017
10,0.29,19/7/2017
11,0.04,9/3/2017
12,0.19,5/8/2017
13,0.39,27/6/2017
14,0.54,8/7/2017
15,0.1,13/10/2017
16,0.28,20/3/2017
17,0.88,18/1/2017
18,0.55,31/3/2017
19,0.9,27/7/2017
20,0.24,5/2/2017
21,0.48,30/1/2017
22,0.94,10/6/2017
23,0.12,19/1/2017
24,0.28,4/1/2017
25,0.87,13/4/2017
26,0.26,22/6/2017
27,0.69,17/5/2017
28,0.62,30/9/2017
29,1.0,4/8/2017
30,0.89,22/8/2017
31,0.41,19/6/2017
32,0.87,20/7/2017
33,0.94,29/7/2017
34,0.88,24/3/2017
35,0.82,25/7/2017
36,0.45,18/12/2017
37,0.58,12/9/2017
38,0.52,27/7/2017
39,0.65,19/4/2017
40,0.87,22/6/2017
41,0.07,6/12/2017
42,0.74,24/7/2017
43,0.5,20/12/2017
44,0.79,15/10/2017
45,0.58,19/4/2017
46,0.06,31/1/2017
47,0.56,4/2/2017
48,0.02,11/10/2017
49,0.32,1/6/2017
50,1.0,20/1/2017
51,0.61,23/8/2017
52,0.78,26/11/2017
53,0.01,16/9/2017
54,0.83,27/12/2017
55,0.72,15/7/2017
56,0.05,29/7/2017
57,0.49,10/12/2017
58,0.34,28/12/2017
59,0.04,27/10/2017
60,0.45,14/8/2017
61,0.66,24/1/2017
62,0.97,7/11/2017
63,0.11,10/12/2017
64,0.52,23/9/2017
65,0.61,15/4/2017
66,0.18,4/8/2017
67,0.58,8/9/2017
68,0.15,19/7/2017
69,0.79,3/6/2017
70,0.87,30/1/2017
71,0.37,29/8/2017
72,0.27,6/12/2017
73,0.75,26/8/2017
74,0.64,2/5/2017
75,0.57,23/5/2017
76,0.36,21/5/2017
77,0.23,9/8/2017
78,0.6,4/11/2017
79,0.48,27/7/2017
80,0.79,24/10/2017
81,0.27,19/4/2017
82,0.03,26/10/2017
83,0.82,12/7/2017
84,0.82,23/4/2017
85,0.18,6/1/2017
86,0.62,23/11/2017
87,1.0,6/8/2017
88,0.61,24/5/2017
89,0.72,24/7/2017
90,0.61,27/3/2017
91,0.97,28/11/2017
92,0.26,27/8/2017
93,0.83,25/6/2017
94,0.07,26/1/2017
95,0.58,18/11/2017
96,0.62,2/5/2017
97,0.06,29/1/2017
98,0.8,25/11/2017
99,0.43,5/4/2017
100,0.19,26/6/2017
101,0.94,15/1/2017
102,0.62,5/4/2017
103,0.92,29/6/2017
104,0.17,27/3/2017
105,0.04,1/10/2017
106,0.57,4/10/2017
107,0.84,25/10/2017
108,0.31,28/1/2017
109,0.02,28/8/2017
110,0.58,24/3/2017
111,0.61,28/12/2017
112,0.73,26/7/2017
113,0.69,16/5/2017
114,0.57,3/2/2017
115,0.54,25/2/2017
116,0.86,23/9/2017
